name,lon,lat,nx,ny
"Seattle", -122.3321, 47.60621, -1.5, 0.0
"Portland", -122.6765, 45.52306, -1.5, 0.0
"Boise", -116.2146, 43.61871, 1.2, -0.5
"San Francisco", -122.4194, 37.77493, 1.5, -0.5
"Los Angeles", -118.2437, 34.05223, -2.0, -0.5
"Phoenix", -112.074, 33.44838, 1.5, 1.0
"Las Vegas", -115.1398, 36.16994, 0, 0.5
"Salt Lake City", -111.891, 40.76078, -0.5, 0
"Denver", -104.9903, 39.73924, 2, 0.5
"Minneapolis", -93.26501, 44.97775, -1, 0
"Kansas City", -94.57857, 39.09973, -2, 0.25
"Dallas", -96.79699, 32.77666, -0.5, 0.5
"Chicago", -87.6298, 41.87811, -2, 0
"St. Louis", -90.1994, 38.627, 0, -1
"Detroit", -83.04575, 42.33143, 0.25, 1
"Cincinnati", -84.51202, 39.10312, 2.5, -0.5
"Atlanta", -84.38798, 33.749, 0.25, -0.25
"Miami", -80.19179, 25.76168, 2.0, 0
"Boston", -71.05888, 42.36008, 0, 0.5
"New York", -74.00594, 40.71278, 3.5, -0.5
"Philadelphia", -75.16522, 39.95258, 3.5, -0.5
"District of Columbia", -77.03687, 38.90719, 3.0, -0.5
